sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
2294280,0.0,9.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,No,0.0,0.54,0.47,0.0,No,No,No,Yes,No,No
2152536,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,No,0.0,0.7,0.66,0.0,No,No,No,Yes,No,No
1515538,302.0,8.0,0.0,0.0,0.0,0.0,22.0,123.0,274.0,358.0,32.0,No,0.0,0.69,0.56,0.0,No,No,No,Yes,No,No
1972201,350.0,2.0,340.0,777.0,1554.0,2352.0,246.0,804.0,1043.0,1043.0,209.0,No,0.0,0.71,0.78,0.0,No,No,No,Yes,No,No
1397681,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.91,0.86,0.0,No,No,No,Yes,No,No
2167330,139.0,8.0,15.0,0.0,10.0,27.0,14.0,77.0,186.0,259.0,81.0,No,0.0,0.98,0.86,0.0,No,No,No,Yes,No,No
1380699,7.0,2.0,0.0,0.0,0.0,10.0,1.0,3.0,5.0,6.0,0.0,No,0.0,0.66,0.65,0.0,No,No,No,Yes,No,No
1530169,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
2924009,21.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.85,0.82,0.0,No,No,No,Yes,No,No
1390913,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
1655890,4.0,8.0,0.0,0.0,0.0,0.0,4.0,8.0,13.0,22.0,0.0,No,0.0,0.97,0.94,0.0,No,No,No,Yes,No,No
2070349,78.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,-99.0,-99.0,0.0,No,No,No,Yes,No,No
1953701,1657.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,No,No,No
3076018,37.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,No,0.0,0.73,0.82,0.0,Yes,No,No,Yes,No,No
3140510,381.0,8.0,27.0,320.0,720.0,1160.0,81.0,358.0,797.0,1309.0,131.0,No,0.0,1.0,1.0,0.0,No,No,No,Yes,No,No
1355995,24.0,8.0,1.0,3.0,6.0,12.0,1.0,4.0,16.0,25.0,9.0,No,0.0,0.68,0.69,0.0,No,No,No,Yes,No,No
3062997,72.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.85,0.82,0.0,No,No,No,Yes,No,No
1316013,10.0,14.0,12.0,12.0,12.0,12.0,2.0,12.0,36.0,41.0,7.0,No,0.0,0.88,0.94,0.0,Yes,No,No,No,No,No
1777003,49.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,No,0.0,0.92,0.94,0.0,No,No,No,Yes,No,No
2834726,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.92,0.9,0.0,No,No,No,Yes,No,No
1054562,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,No,0.0,-99.0,-99.0,0.0,No,No,No,Yes,No,No
2180929,85.0,12.0,1.0,126.0,182.0,238.0,16.0,75.0,169.0,283.0,24.0,No,0.0,0.73,0.76,0.0,No,No,No,Yes,No,No
1659064,35.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
2116279,6.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,No,0.0,0.62,0.58,0.0,No,No,No,Yes,No,No
2274374,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.5,0.6,0.0,Yes,No,No,Yes,No,No
3006509,348.0,12.0,50.0,1000.0,1000.0,1000.0,106.0,307.0,571.0,891.0,167.0,No,0.0,0.92,0.9,0.0,No,No,No,Yes,No,No
1507181,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,0.0,0.78,0.78,0.0,No,No,No,Yes,No,No
1919208,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.78,0.78,0.0,No,No,No,Yes,No,No
1606430,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,No,0.0,1.0,1.0,0.0,No,No,No,Yes,No,No
1300557,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.77,0.8,0.0,No,No,No,Yes,No,No
1281337,12.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,0.0,No,0.0,0.87,0.95,0.0,Yes,No,No,Yes,No,No
2217119,26.0,8.0,9.0,21.0,56.0,63.0,8.0,26.0,56.0,98.0,11.0,No,0.0,0.5,0.52,0.0,No,No,No,Yes,No,No
1502078,41.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,No,No,No
1635576,1489.0,12.0,0.0,0.0,0.0,0.0,3.0,11.0,11.0,11.0,1.0,No,0.0,0.58,0.58,0.0,Yes,No,No,Yes,No,No
2187822,9.0,3.0,3.0,25.0,49.0,79.0,7.0,21.0,29.0,29.0,0.0,No,0.0,0.99,0.98,0.0,No,No,Yes,Yes,No,No
1985301,445.0,8.0,1125.0,551.0,551.0,551.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.53,0.73,0.0,No,No,No,Yes,No,No
1506755,0.0,8.0,0.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.42,0.36,0.0,Yes,No,No,Yes,No,No
1281447,2.0,9.0,0.0,4.0,14.0,30.0,5.0,9.0,27.0,35.0,0.0,No,0.0,0.99,0.98,0.0,No,No,No,Yes,No,Yes
3239095,975.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,No,0.0,1.0,0.7,0.0,No,No,No,Yes,No,No
2091133,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.0,0.0,Yes,No,Yes,Yes,No,No
1120758,7.0,8.0,0.0,0.0,0.0,0.0,4.0,10.0,18.0,28.0,2.0,No,0.0,0.98,0.97,0.0,No,No,No,Yes,No,No
1284506,115.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,Yes,No,No
3264854,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.82,0.89,0.0,Yes,No,No,Yes,No,No
3245203,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.48,0.48,0.0,Yes,No,No,Yes,No,No
2276424,6.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,0.0,No,0.0,0.84,0.83,0.0,No,No,No,Yes,No,No
3252098,500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.68,0.75,0.0,No,No,No,Yes,No,No
2248217,180.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,72.0,4.0,No,0.0,1.0,1.0,0.0,No,No,No,Yes,No,No
1559796,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.68,0.66,0.0,Yes,No,No,Yes,No,No
2159618,407.0,4.0,137.0,183.0,427.0,610.0,72.0,249.0,488.0,760.0,58.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
3216036,45.0,8.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,13.0,1.0,No,0.0,0.97,0.96,0.0,No,No,No,Yes,No,No
1286923,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.82,0.79,0.0,No,No,No,Yes,No,No
1484656,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,No,0.0,0.89,0.94,0.0,No,No,No,Yes,No,No
1700698,932.0,8.0,0.0,0.0,0.0,0.0,12.0,81.0,138.0,201.0,46.0,No,0.0,0.97,0.96,0.0,No,No,No,Yes,No,No
2260352,9.0,8.0,0.0,11.0,23.0,35.0,4.0,15.0,28.0,49.0,0.0,No,0.0,0.81,0.75,0.0,No,No,No,Yes,No,No
1449618,655.0,18.0,37.0,0.0,306.0,684.0,177.0,432.0,758.0,1069.0,169.0,No,0.0,0.58,0.79,0.0,No,No,No,Yes,No,No
2218679,1954.0,2.0,780.0,3930.0,8880.0,13680.0,873.0,3924.0,9203.0,14576.0,1100.0,No,0.0,0.78,0.81,0.0,No,No,No,Yes,No,No
1217037,1.0,8.0,0.0,5.0,11.0,11.0,1.0,7.0,13.0,16.0,1.0,No,0.0,0.94,0.97,0.0,Yes,No,No,No,No,No
2031999,121.0,8.0,92.0,69.0,140.0,211.0,11.0,60.0,142.0,214.0,21.0,No,0.0,0.38,0.38,1.0,No,No,No,Yes,No,No
2201489,64.0,28.0,0.0,0.0,240.0,240.0,9.0,22.0,50.0,89.0,16.0,No,0.0,1.0,1.0,0.0,No,No,No,Yes,No,No
1709109,7.0,8.0,1.0,5.0,10.0,15.0,2.0,4.0,18.0,22.0,1.0,No,0.0,0.96,0.92,0.0,No,No,No,Yes,No,No
3250968,131.0,2.0,0.0,0.0,0.0,0.0,11.0,31.0,43.0,62.0,5.0,No,0.0,0.0,0.0,0.0,No,No,No,Yes,No,No
1383935,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,0.0,0.6,0.47,0.0,No,No,Yes,Yes,No,No
1920368,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.8,0.83,0.0,Yes,No,No,Yes,No,No
2228389,2.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,No,0.0,1.0,0.99,0.0,No,No,No,Yes,No,No
2854143,426.0,8.0,143.0,240.0,510.0,750.0,89.0,285.0,700.0,1167.0,159.0,No,0.0,0.96,0.81,0.0,No,No,Yes,Yes,No,No
1409734,1.0,2.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,0.08,0.0,Yes,No,No,Yes,No,No
1277146,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,-99.0,-99.0,0.0,No,No,No,No,No,No
3256844,155.0,8.0,286.0,576.0,1248.0,2016.0,288.0,890.0,1477.0,1495.0,138.0,No,0.0,0.83,0.86,1.0,No,No,No,Yes,No,No
2299705,47.0,8.0,0.0,40.0,40.0,40.0,0.0,11.0,13.0,16.0,0.0,No,0.0,0.37,0.36,0.0,Yes,No,No,Yes,No,No
1160394,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.46,0.35,0.0,Yes,No,Yes,Yes,No,No
3253951,6.0,12.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,6.0,0.0,No,0.0,0.77,0.75,0.0,No,No,No,Yes,No,No
3239410,247.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,No,0.0,0.48,0.48,0.0,Yes,No,No,Yes,No,No
1604143,10.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,Yes,No,No
2229747,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.48,0.48,0.0,Yes,No,No,Yes,No,No
2185451,9.0,4.0,5.0,42.0,63.0,84.0,8.0,19.0,28.0,28.0,2.0,No,24.0,0.22,0.14,0.0,Yes,No,No,Yes,No,No
1700601,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.99,0.98,0.0,No,No,Yes,Yes,No,No
1741625,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.66,0.69,0.0,No,No,No,Yes,No,No
1573159,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.86,0.86,0.0,Yes,No,No,Yes,No,No
3066508,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.88,0.63,0.0,No,No,No,Yes,No,No
3168599,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.0,0.0,0.0,No,No,No,Yes,No,No
2078555,97.0,8.0,0.0,0.0,0.0,0.0,2.0,8.0,21.0,36.0,5.0,No,0.0,1.0,1.0,0.0,No,No,No,Yes,No,No
3026910,700.0,8.0,51.0,629.0,1445.0,2263.0,233.0,757.0,1618.0,2414.0,250.0,No,0.0,1.0,0.99,0.0,No,No,No,Yes,No,No
2129609,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,1.0,1.0,0.0,No,No,No,Yes,No,No
1662492,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.68,0.64,0.0,No,No,No,Yes,No,No
2914958,236.0,2.0,45.0,929.0,1544.0,2240.0,221.0,656.0,1327.0,2006.0,168.0,No,0.0,0.33,0.32,0.0,No,No,No,Yes,No,No
1988090,649.0,8.0,1204.0,576.0,1728.0,2880.0,481.0,1379.0,2533.0,3856.0,415.0,No,0.0,0.95,0.92,0.0,No,No,Yes,Yes,No,No
1415541,14.0,4.0,15.0,16.0,32.0,48.0,9.0,23.0,36.0,49.0,0.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
1662234,199.0,8.0,9.0,200.0,400.0,600.0,99.0,183.0,453.0,596.0,71.0,No,0.0,0.85,0.9,1.0,No,No,No,Yes,No,No
3121782,0.0,12.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,No,0.0,0.57,0.68,0.0,No,No,Yes,Yes,No,No
1939727,146.0,2.0,40.0,240.0,440.0,680.0,54.0,213.0,391.0,558.0,67.0,No,0.0,0.98,0.98,0.0,No,No,No,Yes,No,No
2183153,4.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,0.0,No,0.0,0.79,0.87,0.0,No,No,No,Yes,No,No
3063544,25.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,4.0,0.0,No,0.0,0.83,0.85,0.0,No,No,Yes,Yes,No,No
1530166,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.11,0.08,0.0,No,No,No,Yes,No,No
1646459,64.0,2.0,25.0,25.0,75.0,100.0,7.0,25.0,61.0,80.0,0.0,No,0.0,1.0,0.6,0.0,No,No,No,Yes,No,No
1863400,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.58,0.58,0.0,Yes,No,No,Yes,No,No
1504737,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.78,0.78,0.0,No,No,No,Yes,No,No
1826762,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.67,0.69,0.0,No,No,No,Yes,No,No
1568997,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,0.0,0.83,0.9,0.0,No,No,No,Yes,No,No
1337362,19.0,8.0,12.0,0.0,20.0,20.0,2.0,10.0,24.0,32.0,0.0,No,0.0,0.44,0.72,0.0,No,No,No,Yes,No,No
2977274,133.0,8.0,40.0,0.0,0.0,120.0,15.0,42.0,77.0,125.0,23.0,No,0.0,0.95,0.95,0.0,No,No,No,Yes,No,No
1961377,33.0,12.0,2.0,36.0,78.0,120.0,10.0,38.0,94.0,126.0,25.0,No,1.0,0.96,0.88,0.0,No,No,No,Yes,No,No
3024406,41.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,No,0.0,0.98,0.97,0.0,Yes,No,No,Yes,No,No
2809578,41.0,,0.0,0.0,0.0,0.0,2.0,17.0,28.0,29.0,2.0,No,0.0,-99.0,-99.0,0.0,No,No,Yes,No,No,No
2848157,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.7,0.66,0.0,No,No,No,Yes,No,No
1469544,147.0,8.0,18.0,0.0,0.0,0.0,9.0,13.0,18.0,46.0,2.0,No,0.0,-99.0,0.42,0.0,Yes,No,No,Yes,No,No
1800110,4.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,0.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
1510948,0.0,8.0,13.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.83,0.92,0.0,No,No,No,Yes,No,No
1340365,0.0,8.0,0.0,71.0,72.0,72.0,0.0,1.0,1.0,2.0,12.0,No,0.0,0.99,0.99,0.0,No,No,Yes,Yes,No,No
1214980,4.0,8.0,0.0,25.0,25.0,50.0,6.0,13.0,29.0,42.0,0.0,No,0.0,0.99,0.98,0.0,No,No,No,Yes,No,Yes
3239101,501.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,No,0.0,0.0,0.0,0.0,Yes,No,No,Yes,No,No
2066045,1113.0,8.0,586.0,882.0,1764.0,2352.0,371.0,1083.0,2075.0,3063.0,667.0,No,0.0,0.95,0.96,5.0,No,No,No,Yes,No,No
1515926,5460.0,13.0,0.0,0.0,0.0,0.0,0.0,90.0,160.0,284.0,22.0,No,0.0,1.0,0.93,0.0,No,No,No,Yes,No,No
1205282,127.0,8.0,0.0,66.0,198.0,264.0,43.0,89.0,168.0,263.0,36.0,No,0.0,0.81,0.89,0.0,No,No,No,Yes,No,No
1966372,86.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,No,0.0,0.93,0.89,0.0,No,No,Yes,Yes,No,No
1745770,58.0,8.0,0.0,43.0,74.0,105.0,11.0,56.0,121.0,174.0,16.0,No,0.0,0.97,0.9,0.0,No,No,No,Yes,No,No
1468728,29.0,2.0,36.0,180.0,360.0,600.0,61.0,167.0,313.0,433.0,7.0,No,0.0,0.99,0.98,0.0,No,No,Yes,Yes,No,No
2004654,190.0,8.0,87.0,340.0,600.0,925.0,93.0,318.0,634.0,1022.0,107.0,No,0.0,1.0,0.99,0.0,No,No,No,Yes,No,No
2959558,1.0,8.0,0.0,10.0,10.0,10.0,4.0,6.0,8.0,9.0,0.0,No,0.0,0.41,0.46,0.0,No,No,No,Yes,No,No
2050053,0.0,4.0,0.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.24,0.14,0.0,Yes,No,No,Yes,No,No
1318805,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.69,0.68,0.0,Yes,No,No,Yes,No,No
1201424,81.0,8.0,20.0,116.0,230.0,354.0,43.0,136.0,254.0,368.0,46.0,No,0.0,0.97,0.94,0.0,No,No,No,Yes,No,No
2132849,13.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,14.0,1.0,No,0.0,0.91,0.94,0.0,Yes,No,No,Yes,No,No
1449875,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.78,0.78,0.0,No,No,No,Yes,No,No
3180516,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,No,0.0,0.98,0.99,0.0,No,No,No,Yes,No,No
2982055,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,No,0.0,0.63,0.76,0.0,No,No,No,Yes,No,No
2069661,181.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,0.0,No,0.0,0.59,0.78,0.0,No,No,No,Yes,No,No
2030747,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,0.98,0.98,0.0,Yes,No,Yes,Yes,No,No
1115030,2.0,8.0,2.0,12.0,24.0,38.0,2.0,10.0,17.0,21.0,4.0,No,0.0,0.99,0.99,0.0,No,No,No,Yes,No,No
2147802,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.82,0.83,0.0,No,No,No,Yes,No,No
1790910,79.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,No,0.0,0.87,0.72,0.0,No,No,No,Yes,No,No
3237831,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,0.0,-99.0,-99.0,0.0,Yes,No,No,Yes,No,No
1619777,4.0,4.0,0.0,10.0,21.0,32.0,2.0,10.0,25.0,33.0,0.0,No,0.0,0.89,0.9,0.0,No,No,No,Yes,No,No
1694570,6.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,No,0.0,0.87,0.93,0.0,No,No,No,Yes,No,No
1418173,776.0,2.0,742.0,2448.0,5152.0,7888.0,906.0,2494.0,4581.0,6614.0,733.0,No,0.0,0.97,0.97,0.0,No,No,No,Yes,No,No
1401724,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.0,0.68,0.66,0.0,No,No,No,Yes,No,No
2250168,27.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,8.0,3.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
1887776,30.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,No,0.0,0.73,0.78,0.0,No,No,No,Yes,No,No
2106051,12.0,8.0,0.0,12.0,30.0,48.0,3.0,10.0,24.0,37.0,0.0,No,0.0,0.99,0.96,0.0,No,No,No,Yes,No,No
1288930,498.0,8.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,14.0,4.0,No,0.0,0.95,0.97,0.0,No,No,No,Yes,No,No
